LADC,index,PC,PC_O,PC_1
E01000001,"29,111",EC1M 6AD,EC1M,6AD
E01000001,"29,111",EC2Y 5AA,EC2Y,5AA
E01000001,"29,111",EC2V 7QL,EC2V,7QL
E01000001,"29,111",EC1A 7LE,EC1A,7LE
E01000002,"28,855",EC2A 1JT,EC2A,1JT
E01000002,"28,855",EC2P 2NA,EC2P,2NA
E01000002,"28,855",EC2R 5BG,EC2R,5BG
E01000002,"28,855",EC1Y 4UB,EC1Y,4UB
E01000002,"28,855",EC2M 6TE,EC2M,6TE
E01000005,"10,285",E1   7DJ,E1,  7DJ
E01000005,"10,285",EC3A 5DJ,EC3A,5DJ
E01000005,"10,285",EC3N 1DL,EC3N,1DL
E01000006,"12,345",IG11 9XD,IG11,9XD
E01000013,"4,416",RM10 8DP,RM10,8DP
E01000013,"4,416",RM9  5AF,RM9, 5AF
E01000019,"6,307",RM8  3UR,RM8, 3UR
E01000027,"3,924",RM5  2BY,RM5, 2BY
E01000027,"3,924",RM6  5QA,RM6, 5QA
E01000034,"5,459",RM7  0DR,RM7, 0DR
E01000039,"11,760",RM12 4PD,RM12,4PD
E01000112,"11,942",RM1  1HA,RM1, 1HA
E01000115,"30,400",EN4  8LH,EN4, 8LH
E01000115,"30,400",N14  5JT,N14, 5JT
E01000117,"22,710",N20  0BD,N20, 0BD
E01000118,"22,055",N11  1EL,N11, 1EL
E01000125,"7,128",HA8  0AA,HA8, 0AA
E01000126,"5,985",NW9  5BF,NW9, 5BF
E01000133,"5,930",NW7  2AE,NW7, 2AE
E01000135,"20,498",NW11 8AL,NW11,8AL
E01000135,"20,498",NW2  2BR,NW2, 2BR
E01000135,"20,498",NW4  3NZ,NW4, 3NZ
E01000136,"24,951",NW3  7UN,NW3, 7UN
E01000156,"22,939",N10  1AB,N10, 1AB
E01000159,"15,037",N12  9AL,N12, 9AL
E01000168,"28,143",EN5  3LZ,EN5, 3LZ
E01000172,"24,913",EN6  1PU,EN6, 1PU
E01000176,"7,785",N2   0FD,N2,  0FD
E01000182,"25,290",N6   4TB,N6,  4TB
E01000184,"6,367",N3   2AY,N3,  2AY
E01000188,"25,991",HA7  4LS,HA7, 4LS
E01000211,"16,409",NW6  5RR,NW6, 5RR
E01000290,"11,173",WD6  2RN,WD6, 2RN
E01000325,"30,315",DA7  6HB,DA7, 6HB
E01000326,"22,437",DA1  4RA,DA1, 4RA
E01000329,"16,736",DA6  7LE,DA6, 7LE
E01000331,"10,606",DA5  1PF,DA5, 1PF
E01000332,"17,572",DA17 5EA,DA17,5EA
E01000334,"20,134",SE2  0DN,SE2, 0DN
E01000339,"20,245",DA15 8DA,DA15,8DA
E01000339,"20,245",SE9  2EZ,SE9, 2EZ
E01000355,"26,104",DA8  3LP,DA8, 3LP
E01000366,"24,361",DA16 1BA,DA16,1BA
E01000381,"9,838",DA14 4RP,DA14,4RP
E01000418,"13,088",DA18 4BS,DA18,4BS
E01000467,"13,195",SE28 8HS,SE28,8HS
E01000471,"12,708",HA0  1LW,HA0, 1LW
E01000472,"9,940",UB6  7HD,UB6, 7HD
E01000477,"10,092",NW10 7NN,NW10,7NN
E01000479,"17,361",HA9  9DZ,HA9, 9DZ
E01000484,"4,067",HA3  9DR,HA3, 9DR
E01000525,"4,308",NW26 9GA,NW26,9GA
E01000544,"4,326",W9   2EX,W9,  2EX
E01000550,"5,037",N8   0ZW,N8,  0ZW
E01000550,"5,037",NW8  7WA,NW8, 7WA
E01000562,"22,052",HA1  3SH,HA1, 3SH
E01000583,"13,504",W10  4BQ,W10, 4BQ
E01000645,"31,974",BR1  2AA,BR1, 2AA
E01000645,"31,974",BR7  5LB,BR7, 5LB
E01000648,"28,427",BR2  9QZ,BR2, 9QZ
E01000654,"25,924",TN16 2NN,TN16,2NN
E01000656,"28,095",CR3  9PP,CR3, 9PP
E01000656,"28,095",CR6  9PP,CR6, 9PP
E01000667,"29,178",BR6  8NF,BR6, 8NF
E01000673,"25,303",BR3  2HA,BR3, 2HA
E01000680,"25,936",BR5  4HB,BR5, 4HB
E01000699,"12,765",SE20 7ST,SE20,7ST
E01000710,"22,202",SE26 5BQ,SE26,5BQ
E01000720,"2,453",BR8  7QJ,BR8, 7QJ
E01000740,"7,472",SE19 2AH,SE19,2AH
E01000748,"19,725",TN14 7NQ,TN14,7NQ
E01000759,"26,812",BR4  9BF,BR4, 9BF
E01000779,"15,467",SE12 9AP,SE12,9AP
E01000839,"31,539",CR0  5AD,CR0, 5AD
